Position Name,Salary,Job Type,Shift & Schedule,Company,Location,Rating,URL,"ID",Posted At,Scraped At,Short Description,External Apply Link
Graduate Trainee,".css-1ihavw2{box-sizing:border-box;margin:0;min-width:0;display:-webkit-inline-box;display:-webkit-inline-flex;display:-ms-inline-flexbox;display:inline-flex;background-color:#f3f2f1;border-radius:0.25rem;-webkit-align-items:center;-webkit-box-align:center;-ms-flex-align:center;align-items:center;font-size:0.875rem;font-weight:700;line-height:1.3125rem;color:#595959;padding:0.1875rem 0.5rem;margin-right:0.25rem;margin-bottom:0.25rem;}.css-1ihavw2 svg{width:1rem;max-height:1.25rem;}[dir=""ltr""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}[dir=""rtl""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}.css-1ihavw2 svg.jobCardAQSignalIcon-check{margin:0 0 0 0.25rem;}₦50,000 - ₦70,000 a month",Full-time,,Datmac Global Services,Lagos,,https://ng.indeed.com/company/Datmac-global-services/jobs/Graduate-Trainee-93c5602264d313f9?fccid=95503f09b2e1a19a&vjs=3,93c5602264d313f9,EmployerActive 8 days ago,2023-11-21T10:47:19.227Z,"Gathering as much information on the company and participating in on-the-job training wherever possible.
 Participating in meetings, workshops, and team-building…",ng.indeed.com/applystart?jk=93c5602264d313f9
Corporate Travel Consultant,".css-1ihavw2{box-sizing:border-box;margin:0;min-width:0;display:-webkit-inline-box;display:-webkit-inline-flex;display:-ms-inline-flexbox;display:inline-flex;background-color:#f3f2f1;border-radius:0.25rem;-webkit-align-items:center;-webkit-box-align:center;-ms-flex-align:center;align-items:center;font-size:0.875rem;font-weight:700;line-height:1.3125rem;color:#595959;padding:0.1875rem 0.5rem;margin-right:0.25rem;margin-bottom:0.25rem;}.css-1ihavw2 svg{width:1rem;max-height:1.25rem;}[dir=""ltr""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}[dir=""rtl""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}.css-1ihavw2 svg.jobCardAQSignalIcon-check{margin:0 0 0 0.25rem;}₦250,000 - ₦350,000 a month",Full-time,,Incel Tourism Limited,Lagos,,https://ng.indeed.com/company/Incel-Tourism/jobs/Travel-Consultant-08ac2b92ec3a2049?fccid=727ac66a1e400033&vjs=3,08ac2b92ec3a2049,EmployerActive 4 days ago,2023-11-21T10:47:19.227Z,Incel Tourism is a leading corporate travel management company committed to providing comprehensive travel solutions for businesses of all sizes.,ng.indeed.com/applystart?jk=08ac2b92ec3a2049
Content writers,,,,Bravewood,Lagos,,https://ng.indeed.com/company/Bravewood/jobs/Content-Writer-927d241a6d9d43c2?fccid=413e65b1f55c1261&vjs=3,927d241a6d9d43c2,EmployerActive 14 days ago,2023-11-21T10:47:19.228Z,"Research industry-related topics (combining online sources, interviews and studies).
 Write clear marketing copy to promote our products/services.",ng.indeed.com/applystart?jk=927d241a6d9d43c2
office secretary/front desk,".css-1ihavw2{box-sizing:border-box;margin:0;min-width:0;display:-webkit-inline-box;display:-webkit-inline-flex;display:-ms-inline-flexbox;display:inline-flex;background-color:#f3f2f1;border-radius:0.25rem;-webkit-align-items:center;-webkit-box-align:center;-ms-flex-align:center;align-items:center;font-size:0.875rem;font-weight:700;line-height:1.3125rem;color:#595959;padding:0.1875rem 0.5rem;margin-right:0.25rem;margin-bottom:0.25rem;}.css-1ihavw2 svg{width:1rem;max-height:1.25rem;}[dir=""ltr""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}[dir=""rtl""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}.css-1ihavw2 svg.jobCardAQSignalIcon-check{margin:0 0 0 0.25rem;}₦50,000 a month",Full-time,,zaphora global resources ltd,Abuja,,https://ng.indeed.com/company/zaphora-global-resources-ltd/jobs/Front-Desk-Agent-6e0e583e98ffa903?fccid=b4b8a83ab299e029&vjs=3,6e0e583e98ffa903,EmployerActive 18 days ago,2023-11-21T10:47:19.228Z,"Clear, friendly and professional communication skills.",ng.indeed.com/applystart?jk=6e0e583e98ffa903
Application Processing Associate,".css-1ihavw2{box-sizing:border-box;margin:0;min-width:0;display:-webkit-inline-box;display:-webkit-inline-flex;display:-ms-inline-flexbox;display:inline-flex;background-color:#f3f2f1;border-radius:0.25rem;-webkit-align-items:center;-webkit-box-align:center;-ms-flex-align:center;align-items:center;font-size:0.875rem;font-weight:700;line-height:1.3125rem;color:#595959;padding:0.1875rem 0.5rem;margin-right:0.25rem;margin-bottom:0.25rem;}.css-1ihavw2 svg{width:1rem;max-height:1.25rem;}[dir=""ltr""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}[dir=""rtl""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}.css-1ihavw2 svg.jobCardAQSignalIcon-check{margin:0 0 0 0.25rem;}₦50,000 - ₦120,000 a month",Full-time,,LEGITILATE PARTNERS,Lagos,,https://ng.indeed.com/company/AP&A-Immigration-Resource-Centre/jobs/Application-Processing-Associate-97b563789b7e76fa?fccid=afb385943d9219d9&vjs=3,97b563789b7e76fa,PostedPosted 1 day ago,2023-11-21T10:47:19.229Z,"You will be responsible for writing weekly progress reports, maintaining relationships with external stakeholders as well as relevant internal teams in timely…",ng.indeed.com/applystart?jk=97b563789b7e76fa
QUALITY CONTROL PHARMACIST,".css-1ihavw2{box-sizing:border-box;margin:0;min-width:0;display:-webkit-inline-box;display:-webkit-inline-flex;display:-ms-inline-flexbox;display:inline-flex;background-color:#f3f2f1;border-radius:0.25rem;-webkit-align-items:center;-webkit-box-align:center;-ms-flex-align:center;align-items:center;font-size:0.875rem;font-weight:700;line-height:1.3125rem;color:#595959;padding:0.1875rem 0.5rem;margin-right:0.25rem;margin-bottom:0.25rem;}.css-1ihavw2 svg{width:1rem;max-height:1.25rem;}[dir=""ltr""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}[dir=""rtl""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}.css-1ihavw2 svg.jobCardAQSignalIcon-check{margin:0 0 0 0.25rem;}₦300,000 - ₦500,000 a month",Full-time,,Ascentech Services Ltd,Calabar,,https://ng.indeed.com/company/Ascentech-Services-Ltd/jobs/Pharmacist-102681806d1a3c70?fccid=f0e84bc88bd76fbe&vjs=3,102681806d1a3c70,EmployerActive 4 days ago,2023-11-21T10:47:19.229Z,"The ideal candidate shall be concerned with sampling, specifications, testing, documentation, release procedures which ensure that the necessary and relevant…",ng.indeed.com/applystart?jk=102681806d1a3c70
Laundry Supervisor,".css-1ihavw2{box-sizing:border-box;margin:0;min-width:0;display:-webkit-inline-box;display:-webkit-inline-flex;display:-ms-inline-flexbox;display:inline-flex;background-color:#f3f2f1;border-radius:0.25rem;-webkit-align-items:center;-webkit-box-align:center;-ms-flex-align:center;align-items:center;font-size:0.875rem;font-weight:700;line-height:1.3125rem;color:#595959;padding:0.1875rem 0.5rem;margin-right:0.25rem;margin-bottom:0.25rem;}.css-1ihavw2 svg{width:1rem;max-height:1.25rem;}[dir=""ltr""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}[dir=""rtl""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}.css-1ihavw2 svg.jobCardAQSignalIcon-check{margin:0 0 0 0.25rem;}₦90,000 - ₦100,000 a month",Full-time,,ResourcePRO Limited,Lagos,,https://ng.indeed.com/company/ResourcePRO-Limited/jobs/Laundry-Attendant-db27d1129a8ad373?fccid=c89aef776f7eb3f7&vjs=3,db27d1129a8ad373,EmployerActive 8 days ago,2023-11-21T10:47:19.230Z,"Oversee the day-to-day operations of the laundry department, including staff scheduling, task assignment, and workflow management.",ng.indeed.com/applystart?jk=db27d1129a8ad373
Communications Officer,,,,International Rescue Committee,Mubi,,https://ng.indeed.com/rc/clk?jk=3da595379c820aec&fccid=78143039abd7ee91&vjs=3,3da595379c820aec,PostedToday,2023-11-21T10:47:19.230Z,The Communications Officer will support internal and external communications and visibility initiatives for the IRC in Nigeria.,ng.indeed.com/applystart?jk=3da595379c820aec
CUSTOMER SERVICE REPRESENTATIVE,".css-1ihavw2{box-sizing:border-box;margin:0;min-width:0;display:-webkit-inline-box;display:-webkit-inline-flex;display:-ms-inline-flexbox;display:inline-flex;background-color:#f3f2f1;border-radius:0.25rem;-webkit-align-items:center;-webkit-box-align:center;-ms-flex-align:center;align-items:center;font-size:0.875rem;font-weight:700;line-height:1.3125rem;color:#595959;padding:0.1875rem 0.5rem;margin-right:0.25rem;margin-bottom:0.25rem;}.css-1ihavw2 svg{width:1rem;max-height:1.25rem;}[dir=""ltr""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}[dir=""rtl""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}.css-1ihavw2 svg.jobCardAQSignalIcon-check{margin:0 0 0 0.25rem;}₦90,000 - ₦100,000 a month",Full-time,,HRONWHEELS,Lagos,,https://ng.indeed.com/company/HrOnWheels/jobs/Customer-Service-Representative-9ddb6e2d8bd67bf4?fccid=9a3b63470218f7f8&vjs=3,9ddb6e2d8bd67bf4,EmployerActive 4 days ago,2023-11-21T10:47:19.230Z,Our client a fashion industry is looking to hire a Customer Service Representative who will be responsible for providing support or help to customers…,ng.indeed.com/applystart?jk=9ddb6e2d8bd67bf4
Operation Manager,".css-1ihavw2{box-sizing:border-box;margin:0;min-width:0;display:-webkit-inline-box;display:-webkit-inline-flex;display:-ms-inline-flexbox;display:inline-flex;background-color:#f3f2f1;border-radius:0.25rem;-webkit-align-items:center;-webkit-box-align:center;-ms-flex-align:center;align-items:center;font-size:0.875rem;font-weight:700;line-height:1.3125rem;color:#595959;padding:0.1875rem 0.5rem;margin-right:0.25rem;margin-bottom:0.25rem;}.css-1ihavw2 svg{width:1rem;max-height:1.25rem;}[dir=""ltr""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}[dir=""rtl""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}.css-1ihavw2 svg.jobCardAQSignalIcon-check{margin:0 0 0 0.25rem;}₦200,000 - ₦250,000 a month",Full-time,,Lime Life Limited,Ibadan,,https://ng.indeed.com/company/Lime-Life-Limited/jobs/Operation-Manager-1592c1f94996eca5?fccid=4f3466b8fe28009b&vjs=3,1592c1f94996eca5,EmployerActive 18 days ago,2023-11-21T10:47:19.231Z,"About us The Lime is a new Fine Dining restaurant and lounge, with exceptional experience. Job Type: Full-time Salary: ₦200,000.00 - ₦250,000.00 per…",ng.indeed.com/applystart?jk=1592c1f94996eca5
Customer Success Associate,,,,Carbon,Lagos,,https://ng.indeed.com/rc/clk?jk=e6b5334bafe30105&fccid=eaf2233995decda5&vjs=3,e6b5334bafe30105,PostedPosted 5 days ago,2023-11-21T10:47:19.231Z,"Data-Driven: Rigorous in using data for decisions, experiments to test assumptions and hypothesis.
 As a Customer Success Agent, you will play a vital role in…",ng.indeed.com/applystart?jk=e6b5334bafe30105
Service Control Tester - Jumia (Full Time),,,,Jumia,Nigeria,,https://ng.indeed.com/rc/clk?jk=137c5b68f2b73b23&fccid=3e9359119b425c78&vjs=3,137c5b68f2b73b23,PostedPosted 23 days ago,2023-11-21T10:47:19.231Z,"Logistics service, which enables the shipment and delivery of packages from sellers to consumers, and our external clients;",ng.indeed.com/applystart?jk=137c5b68f2b73b23
Employé Polyvalent (F/H) – Aix-En-Provence – La Duranne,,,,Appart'city,Lagos,,https://ng.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C0SV4DgYhb81GT0p_rbfz7YYgnB2uVVPnvwqkWvtJaIYdYQTxOQpnMyNcKPtpvmWqT4zCWXYdSIrsWDxr8Sk7uVL3q9GZvxjJOiKNFcTLu1UNGWPequUJKdYEJbhx3LhvOZQftvjTaPdvK2LbKIgPokmqcBtydUCwc7zm3WiAgh3VpbMhPXFibg97Z_684G6z-5x7ojv0LTMTc7rPXA8wyhRSuypsUH9-e4wYUB9rVKBnQCa7ewoUK35XLrYM-0jnYWOqB9xCG1RolJKO5oeRaqlJA-piIXGBnipcAtO0iWtN54uwdcqUXx5RR95Wf5fB80Xpv8hiENs_4EA1OaL7dEnjKFltVRKDFaYCILepQh8tUSy13_LzK9jlQ08agg6Enq1iiOJbjFFVzKIQQkdsAAJHpHRDcb2SVCDX2nooK7OxTWDMhkKtndIFj-9Y4PE34bp7GaA8QrVjSFAhx8ZcipPAuEqe_HanrmZlqMbnXphmBHZ0m4-UkAGfHUWWWRV9x5ODShbhoG4bjIEydexPiNsJU4enqTQ7Rfqc2K5ZwmzndmmUhxOKwdpuuhlgSYAsSLYslp3hUyjU1QAzsMv7swW0Jvdb1vk0rCF3rTtTcwdlp5R9cXryO&xkcb=SoDI-_M3I4niDFySxZ0SbzkdCdPP&p=13&fvj=0&vjs=3,15f75d1edc573188,PostedPosted 30+ days ago,2023-11-21T10:47:19.232Z,"Quel que soit le poste, cette aventure humaine permet à chaque collaborateur d’être force de proposition dans l’amélioration du produit, mais aussi de faire…",ng.indeed.com/applystart?jk=15f75d1edc573188
Operations Associate,,,,Maisha Meds,Kaduna,,https://ng.indeed.com/rc/clk?jk=9088e901b89f30c5&fccid=d73dfed27270370a&vjs=3,9088e901b89f30c5,PostedPosted 12 days ago,2023-11-21T10:47:19.232Z,"We are building the financial and technology infrastructure to enable global health funders to pay for health outcomes at the last mile, with a focus on malaria…",ng.indeed.com/applystart?jk=9088e901b89f30c5
Restaurant Supervisor,".css-1ihavw2{box-sizing:border-box;margin:0;min-width:0;display:-webkit-inline-box;display:-webkit-inline-flex;display:-ms-inline-flexbox;display:inline-flex;background-color:#f3f2f1;border-radius:0.25rem;-webkit-align-items:center;-webkit-box-align:center;-ms-flex-align:center;align-items:center;font-size:0.875rem;font-weight:700;line-height:1.3125rem;color:#595959;padding:0.1875rem 0.5rem;margin-right:0.25rem;margin-bottom:0.25rem;}.css-1ihavw2 svg{width:1rem;max-height:1.25rem;}[dir=""ltr""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}[dir=""rtl""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}.css-1ihavw2 svg.jobCardAQSignalIcon-check{margin:0 0 0 0.25rem;}₦70,000 - ₦120,000 a month",Full-time,,NativeTray Restaurant,Port Harcourt,,https://ng.indeed.com/company/NativeTray-Restaurant/jobs/Restaurant-Manager-2fb308a838ed55dc?fccid=8656cba802f2c056&vjs=3,2fb308a838ed55dc,EmployerActive 1 day ago,2023-11-21T10:47:22.196Z,"The ideal candidate has a passion for food and beverage, a genuine ability to connect with guests and staff alike.
 Promote and Market the Business.",ng.indeed.com/applystart?jk=2fb308a838ed55dc
Secetary,".css-1ihavw2{box-sizing:border-box;margin:0;min-width:0;display:-webkit-inline-box;display:-webkit-inline-flex;display:-ms-inline-flexbox;display:inline-flex;background-color:#f3f2f1;border-radius:0.25rem;-webkit-align-items:center;-webkit-box-align:center;-ms-flex-align:center;align-items:center;font-size:0.875rem;font-weight:700;line-height:1.3125rem;color:#595959;padding:0.1875rem 0.5rem;margin-right:0.25rem;margin-bottom:0.25rem;}.css-1ihavw2 svg{width:1rem;max-height:1.25rem;}[dir=""ltr""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}[dir=""rtl""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}.css-1ihavw2 svg.jobCardAQSignalIcon-check{margin:0 0 0 0.25rem;}₦95,000 a month",Full-time,,Job Impulse,Ikeja,,https://ng.indeed.com/company/Job-Impulse/jobs/Secetary-e99996d3a4a74874?fccid=eae2acb0620b9974&vjs=3,e99996d3a4a74874,EmployerActive 2 days ago,2023-11-21T10:47:22.196Z,"Answer phone calls and redirect them when necessary.
 Manage the daily/weekly/monthly agenda and arrange new meetings and appointments.",ng.indeed.com/applystart?jk=e99996d3a4a74874
